Income,Age,Risk_Appetite,Net_Worth,Investment_Horizon,Stock_Allocation,Bond_Allocation,FD_Allocation,ETF_Allocation,Cash_Allocation,Other_Allocation,Expected_Return,Portfolio_Volatility
20000,23,Medium,188873.82,30,40.05,17.67,11.88,12.45,10.17,7.77,7.63,12.52
40772.86,46,Medium,407738.44,16,43.22,10.47,10.87,15.07,13.11,7.26,7.97,12.72
56158.19,43,High,233850.93,28,59.36,5.05,4.21,11.47,2.54,17.37,9.02,14.32
72880.27,43,High,387489.93,20,61.59,6.09,1.83,10.53,5.07,14.89,10.49,17.08
128430.71,47,High,1006242.13,22,67.87,5.27,4.15,17.41,0.82,4.49,9.96,17.67
91456.45,45,Medium,903323.14,20,44.2,12.38,10.74,17.59,12.76,2.32,8.05,11.77
51503.35,40,Medium,417790.96,20,40.96,12.44,11.81,18.34,9.32,7.13,7.92,13.78
51202.48,68,Low,255584.97,1,11.94,31.27,18.1,5.3,26.22,7.16,4.68,9.6
90239.8,24,Medium,886450.66,30,44.06,20.88,13.53,13.1,6.54,1.89,8.14,14.42
166068.56,32,Medium,1374288.04,30,32.59,19.13,13.99,17.88,13.13,3.28,6.82,11.03
66380.01,51,Medium,564273.46,12,39.02,21.51,7.66,11.7,11.35,8.75,6.81,13.6
41224.79,41,Low,374923.02,20,16.02,25.27,27.91,8.75,15.93,6.11,5.6,10.68
27114.04,49,Low,246204.7,14,23.14,21.87,22.13,4.91,21.2,6.75,4.39,10.98
20000,42,Low,85538.01,24,5.53,39.84,18.49,8.63,20.32,7.19,4.38,7.43
102243.81,56,High,467934.82,6,59.68,7.51,2.89,13.69,2.24,13.99,8.31,15.28
95271.18,27,Medium,946612.21,30,44.87,12.64,12.82,21.43,5.74,2.51,7.65,14.52
95224.32,56,Medium,466305.82,9,35.4,18.05,9.26,17.07,7.81,12.42,8.72,13.41
54131.54,54,High,496417.72,10,64.36,4.26,0.18,16.18,0.8,14.23,9.15,16.71
184914.28,25,Low,1022773.73,30,15.45,28.04,20.35,5.38,24.76,6.02,4.76,6.76
40733.46,47,Low,424200.83,20,17.68,27.33,17.94,9.66,24.81,2.58,4.68,10.18
128838.53,39,Low,871471.18,22,22.8,21.1,26.26,7.15,22.33,0.36,5.85,8.28
58168.87,32,High,442386.46,30,60.8,5.28,1.58,14.23,7.2,10.9,9.31,14.96
36879.8,18,Medium,162458.22,30,36.79,19.71,13.69,12.83,13.65,3.33,8.11,13.93
96386.76,27,Medium,264129.47,30,42.92,19.38,11.56,13.58,5.52,7.05,7.39,13.4
83267.1,48,High,718504.15,17,72.57,1.77,4.79,12.33,7.98,0.55,9.39,16.32
79831.87,49,High,251864.46,18,57.47,2.93,1.33,10.96,9.25,18.06,9.03,14.43
64031,37,Medium,534801.66,27,36.26,29.2,12.93,14.16,6.6,0.85,6.48,13.77
58208.42,49,High,424091.76,12,62,9.76,2.1,16.17,3.2,6.76,9.29,16.8
405468.08,51,Medium,3521883.7,17,44.44,19.97,9.48,14.3,9.23,2.58,7.59,15.28
154740.56,41,Medium,605212.65,22,48.99,22.05,5.65,11.47,6.88,4.96,8.96,14.99
106976.17,31,Medium,708398.44,30,34.56,24.32,11.69,14.1,10.69,4.64,6.52,12.06
65613.66,45,Low,498611.57,16,21.72,24.2,29.12,9.22,13.17,2.56,6.25,8.67
134299.22,45,Low,393423.53,17,21.83,27.61,22.76,9.62,11.77,6.42,6.09,10.85
90807.36,48,High,766424.77,21,71.64,0.13,3.6,10.84,8.7,5.08,9.55,15.8
61271.11,50,Low,363232.32,10,20.47,32.22,14.42,6.54,25.7,0.65,4.95,8.64
47063.28,23,Low,165663.52,30,24.4,21.73,17.25,7.22,28.36,1.04,5.13,10.19
56239.01,33,Low,319623.22,30,21.53,30.83,22.1,10.92,12.06,2.56,5.85,11.36
20000,18,Low,73728.24,30,9.05,38.2,20.96,9.27,21.85,0.67,3.8,7.99
71010.32,48,Medium,694475.62,14,41.3,17.72,9.73,12.62,10.89,7.74,7.43,15.6
40591.7,37,Medium,266508.71,23,34.89,16.7,14.78,15.99,7.11,10.53,7.81,13.38
214536.64,45,High,710969.91,16,75.38,5.67,1.2,11.01,1.88,4.85,10.21,16.21
60935.74,22,High,266764.56,30,58.33,3.02,4.79,17.84,0.08,15.95,9.63,16.43
23177.31,56,Low,236717.96,5,8.68,35.25,23.56,9.55,15.34,7.62,5.29,7.11
57652.89,25,High,502867.85,30,64.94,2.16,4.33,19.23,7.43,1.9,9.94,16.31
25983.14,49,Low,109554.51,21,16.86,23.33,18.71,9.16,27.17,4.77,4.92,8.54
87625.36,41,Medium,258226.93,27,35.35,27.45,5.86,11.95,6.42,12.97,6.81,10.92
75724.55,37,Low,744076.6,29,25.16,31.84,16.71,8.43,14.97,2.88,6.26,11.88
129103.74,36,High,636055.83,30,58.89,5.8,3.93,13.02,3.44,14.93,9.79,17.68
31869.17,32,Low,145026.91,30,7.9,39.19,27.53,10.8,12.13,2.46,5.04,10.66
61654.8,55,Medium,239006.34,10,42.84,24.71,5.6,14.41,9.11,3.32,8.16,13.48
20132.33,40,Medium,156921.74,22,40.25,23.9,4.34,14.4,5.91,11.19,8.49,13.95
105166.04,24,Medium,883040.51,30,32.22,27.67,4.97,16.24,10.05,8.85,7.12,14.07
90871.05,35,Low,595578.27,30,19.06,28.84,25.79,8.26,14.21,3.84,5.65,10.86
89209.59,41,Medium,234173.51,28,43.06,16.66,8.41,17.97,9.6,4.3,7.98,13.6
60077.76,50,Medium,402730.95,20,34.68,13.59,9.58,15.38,13.82,12.95,7.6,14.03
83609.98,32,Low,407681.09,27,11.69,36.47,13.14,5.78,24.16,8.75,4.3,10.09
216548.78,33,Medium,1649076.15,29,46.7,17.27,10.95,13.4,8.38,3.3,8.72,15.07
47763.85,40,Medium,335566.15,24,38.91,15.81,7.39,11.7,10.37,15.83,7.84,13.69
67038.07,50,High,701790.88,16,63.87,8.24,0.71,10.8,4.77,11.6,10.48,16.46
25164.73,23,Low,193750.59,30,15.05,27.9,25.24,11.05,20.62,0.13,4.62,8.19
29956.18,46,Low,257486.1,18,17.91,29.37,21.9,8.71,16.62,5.49,5.64,9.52
64883.62,34,Medium,433802.88,30,38.07,15.36,6.91,15.97,12.02,11.67,8.09,13.34
145109.9,36,Medium,687259.61,30,35.02,22.12,10.59,17.18,5.9,9.19,7.95,14.24
48877.63,64,Medium,408334.39,2,39.17,23.38,6.55,16.67,13.12,1.11,7.59,12.77
49680.44,37,Medium,268674.46,27,38.27,22.06,12.26,11.41,12.26,3.74,7.23,14.35
43329.62,49,Medium,384318.59,16,41.78,12.94,14.22,14.9,9.27,6.89,7.32,14.13
39116.3,48,Low,200349.05,17,15.5,30.63,15.68,6.78,23.16,8.24,5.05,8.91
75968.72,25,Medium,400383.57,30,39.22,14.13,9.39,12.32,9.67,15.28,7.21,14.09
20000,18,Low,151383.73,30,22.21,31.65,10.78,9.91,16.81,8.64,6.03,12.84
167184.2,49,Medium,1223959.49,18,35.47,19.45,12.83,14.11,9,9.14,6.73,13.22
35233.83,26,Medium,284930,30,29.81,25.96,11.39,13.5,9.07,10.29,6.75,13.09
106897.17,20,Medium,832689.13,30,32.34,25.98,12.74,17.96,10.43,0.55,7.4,13.58
21722.44,52,Low,150760,14,21.21,39.29,22.86,5.26,10.32,1.06,5.53,10.41
102454.28,27,Low,963494.76,30,19.49,24.07,12.54,11.03,26,6.86,5.58,10.03
102709.05,30,Low,260013.72,30,21.11,30.79,15.1,8.79,22.48,1.74,5.6,8.56
81589.96,63,Low,349171.85,1,7.78,31.46,27.67,9.36,12.77,10.95,4.81,8.35
27080.17,20,Medium,89355.74,30,37.31,18.17,6.91,17.53,7.61,12.47,7.21,13.56
73257.68,24,Low,564077.3,30,21.31,30.29,11.95,6.68,25.59,4.18,5.49,8.56
23287.1,34,Low,131557.16,30,6.38,29.99,26.12,9.55,23.04,4.92,4.06,4.82
49015.37,37,Low,213123.41,30,6.87,30.16,28.84,7.89,20.98,5.25,3.9,9.13
136711.8,29,Low,828126.93,30,25.36,25.51,19.01,7.88,16.84,5.4,5.14,10.74
113489.02,26,Low,815018.82,30,22.5,30.36,21.25,5.01,15.52,5.36,5.44,11.58
60733.23,58,Low,480336.95,10,20.67,21.64,18.46,8.41,22.23,8.59,5.15,8.04
27508.62,43,Low,220695.22,25,21,26.11,21.13,8.71,18.82,4.24,4.85,10.25
100566.05,47,Medium,1046213.31,15,39.54,28.08,10.14,15.05,6.35,0.84,7.59,14.68
60937.55,38,High,579230.14,29,61.91,10.4,3.2,13.52,8.83,2.14,9.66,17.37
20000,43,Low,121217.63,23,8.7,38.19,25.23,6.28,20.7,0.9,4.62,6.51
112218.56,51,Medium,956573.51,17,38.73,12,8.53,13.91,13.39,13.45,6.88,10.76
58848.03,28,Low,413712.2,30,11.25,28.94,25.36,7.23,19.68,7.54,4.26,9.28
157009.38,43,Medium,445595.98,19,29.02,17.04,10.85,15.56,13.63,13.9,6.52,13.22
24981.32,48,Low,107871.44,16,16.23,39.04,19.87,5.96,17.45,1.45,5.07,9.29
20000,58,Low,225939.05,11,18.51,31.24,15.33,7.82,21.51,5.59,4.87,10.67
75009.27,63,Low,540053.34,1,12.56,25.71,22.51,8,25.43,5.79,5.21,9.98
75761.9,40,Low,537801.06,24,23.52,24.37,21.13,7.61,20.77,2.61,5.89,9.96
20000,53,Low,146803.05,9,18.58,29.5,14.82,5.73,29.37,2,4.8,7.74
27427.47,18,Low,276991.65,30,24.64,27.87,10.67,9.91,25.29,1.62,5.22,11.36
500000,58,Medium,3911391.13,9,45.31,11.06,5.67,12.71,12.08,13.17,8.45,15.05
46986.3,31,Medium,473713.37,30,42.29,14.96,9.57,14.45,10.44,8.29,7.85,14.27
107674.39,37,High,337857.1,24,57.28,4.16,2.27,16.16,6.97,13.17,9.65,16.09
35652.41,45,Medium,282795.67,22,33.64,26.81,11.87,9.91,13.78,4,6.89,12.81
20000,38,Medium,180004.36,28,42.66,24.3,9.8,12.29,6.66,4.3,8.24,14.6
52359.74,42,Low,199495.3,21,15.96,28,26.14,7.58,20.83,1.49,5.15,9.18
48514.41,59,Low,290419.56,8,6.18,26.32,30.08,9.31,25.12,3,4.16,8.51
43573.19,35,Low,197024.05,30,23.7,29.59,13.08,5.23,28.09,0.32,4.74,9.77
54742.04,26,Low,566614.38,30,21.28,27.63,26.59,10.07,12.71,1.72,5.43,9.4
74125.47,61,Low,531498.18,6,23.03,24.6,26.53,5.84,15.09,4.91,4.53,11.31
53210.25,46,High,286621.38,17,55.7,9.19,0.55,16.2,7.57,10.79,9.01,15.41
21826.82,63,Low,222684.45,1,15.1,34.73,23.03,7.72,19.14,0.28,5.28,10.22
88525.65,50,Medium,694146.39,21,35.35,20.03,8.2,17.65,5.27,13.5,8.14,15.32
20000,24,Low,119572.86,30,11.1,36.74,15.37,9.6,16.36,10.84,5.07,9.09
20000,47,Low,246027.66,12,23.87,28.74,19.53,6.55,11.99,9.32,6.23,9.67
108384.92,28,High,946203.72,30,65.66,9.78,3.9,15.97,3.28,1.41,9.26,18.09
90013.6,40,Medium,508299.84,18,40.11,23.15,12.02,17.05,6.94,0.73,7.08,14.77
57307.31,39,High,456224.46,29,69.67,6.65,0.76,11.78,5.57,5.56,9.28,17.57
20000,20,Low,173686.34,30,9.19,29.06,21.18,6.21,26.97,7.4,4.16,7.51
34056.33,30,Medium,145469.07,30,36.78,11.42,11.49,15.41,12.93,11.96,7.08,12.85
48625.46,66,Low,504858.03,1,9.31,46.84,17.05,9.33,14.24,3.23,4.46,9.68
20000,42,Low,214166.05,26,8.87,30.68,21.74,6.63,31.15,0.93,4.4,7.24
33218.99,37,Medium,304260.03,29,44.07,23.27,4.5,9.01,6.69,12.46,7.87,13.14
101109.98,61,Low,443338.14,7,11.76,28.48,21.78,5.76,24.38,7.84,4.67,8.3
187952.42,35,Medium,615772.7,30,49.71,18.31,9.07,11.82,9.29,1.8,7.95,15.84
42896.78,38,Low,185753.01,22,6.42,34.93,11.09,6.79,30.61,10.16,4.51,8.32
109896.09,51,Low,352571.4,15,15.72,36.03,20.37,4.78,18.76,4.34,4.48,10.06
20000,35,Low,225446.53,25,10.47,41.07,14.28,12.34,17.92,3.93,3.95,11.21
101687.62,31,Low,927066.78,30,18.76,31.27,12.48,5.88,23.91,7.69,5.02,12.01
31537.77,18,Low,103979.39,30,22.21,23.66,16.86,10.14,16.05,11.08,5.56,10.31
76724.5,28,High,597584.69,30,67.1,2.91,1.37,17.26,4.52,6.85,9.55,17.56
49212.25,28,Medium,223111.76,30,40.74,21.6,9.41,14.68,12.69,0.88,7.77,12.36
172548.05,41,Medium,409940.39,20,38.56,19.25,12.22,10.63,6.95,12.39,7.75,13.38
29808.57,32,Medium,161343.49,30,34.62,11.18,8.56,20.19,12.38,13.08,7.66,12.31
99129.75,65,Low,612220.07,6,8.05,22.33,26.42,9.34,26.74,7.12,4.14,8.95
47977.81,27,Low,130646.71,30,22.37,37.76,18.9,5.31,15.6,0.06,4.6,8.71
52862.82,56,Medium,298627.65,16,46.13,11.41,10.22,11.84,6.25,14.15,8.53,16.07
51793.33,42,Medium,435775.45,22,31.78,21.14,10.91,16.06,6.5,13.6,7.14,11.96
30502.42,49,Low,165745.81,18,14.61,29.92,22.58,7.22,19.8,5.88,5.13,9.52
59327.05,48,Medium,396792.27,16,36.03,27.38,7.86,12.77,11.5,4.45,7.43,12.27
57067,18,High,537346.62,30,60.63,1.74,4.45,15.26,1.56,16.37,9.96,16.79
72772.4,39,Medium,201073.44,23,40.39,17.28,9.5,12.38,7.99,12.46,7.65,14.3
64196.5,36,Low,567874.23,30,16.02,27.32,19.26,9.9,15.44,12.06,5.08,11.13
113606.44,26,Medium,602114.46,30,45.28,18.94,7.91,12.28,12.24,3.34,7.56,13.41
125606.18,45,Medium,839986.52,19,42.32,14.49,12.71,10.8,7.19,12.5,7.72,12.92
25889.72,60,Medium,159597.07,9,34.53,16.44,8.66,17.22,14.08,9.07,7.45,13.15
120224.71,18,High,815280.7,30,55.48,3.97,4.31,19.08,8.94,8.21,9.73,15.94
23226.07,33,Medium,215222.4,30,41.82,24.85,6.06,16.97,6.2,4.11,7.36,14.57
96026.99,25,High,371878.62,30,67.94,2.12,1.65,17.86,4.4,6.03,9.92,16.59
98507.79,40,Medium,507532.78,22,43.93,12.01,8.12,13.14,9,13.8,8.07,15.3
20000,36,Low,166780.64,30,18.84,36.87,17.1,8.12,11.37,7.7,4.87,8.45
64633.18,32,Medium,376769.43,29,34.56,13.93,11.4,16.59,11.28,12.24,6.88,12.58
41245.73,48,Low,227221.91,18,21.16,32.81,13.04,8.54,16.14,8.32,6.24,10.32
32698.6,59,Low,242553.59,2,11.38,30.82,23.97,8.41,22.06,3.35,4.98,8
176801.29,71,Low,835952.36,1,15.41,32.06,20.18,12.55,15.62,4.18,5.17,9.44
35566.4,31,Low,188025.23,30,10.04,31.46,21.18,8.45,23.16,5.7,3.96,8.06
31476.56,18,Medium,234718.27,30,37.56,13.56,6.47,20.86,7.88,13.69,7.85,13.42
63745.62,46,Medium,416777.83,22,39.54,15.94,14.85,14.21,12.93,2.53,7.01,11.68
103836.38,59,High,829110.57,6,63.15,2.34,0.67,14.21,8.75,10.87,9.9,16.11
53571.95,49,Medium,515052.43,14,36.26,14.7,11.97,10.37,13.63,13.07,7.76,12.58
152542.16,59,Medium,1514820.04,3,37.79,13.49,8.18,17.81,10.59,12.13,7.67,12.66
91755.29,37,Low,331608.85,30,21.89,21.92,17.76,9.16,22.17,7.1,5.71,9.58
20000,32,Medium,172190.46,30,34.17,22.18,11.61,9.01,11.85,11.19,6.92,14.01
39282.18,41,Low,302587.75,24,21.06,24.75,13.25,7.42,25.35,8.17,5.48,9.06
38277.83,36,Low,378033.93,29,20.89,36.81,13.1,9.11,18.12,1.97,5.42,10.53
88043.7,47,Low,854107.13,22,15.45,29.18,30.16,5.91,13.11,6.2,5.45,10.67
20000,51,Low,212680.41,17,14.55,36.91,15.97,9.73,16.16,6.67,4.18,9.32
461071.13,52,High,3170544.34,8,63.49,1.91,3.78,16.27,0.4,14.15,9.58,17.43
91758.99,46,Medium,375791.2,21,47.72,13.43,7.48,12.65,6.38,12.34,8.92,14.99
67589.05,42,Low,326759.92,27,18.05,30.96,22.57,9.58,13.41,5.43,6.47,9.44
154408.04,49,Medium,1102392.79,13,33.23,24.47,10.72,13.28,5.13,13.16,7.02,11.42
391219.12,18,Medium,1236549.79,30,35.76,19.73,11.68,14.85,13.68,4.31,6.98,13.59
120414.73,42,Medium,460045.43,30,36.45,25.59,11.54,12.41,7.21,6.81,7.46,13.51
128174.81,40,Low,1230930.89,26,12.44,34.54,26.41,7.29,13.61,5.72,4.67,9.78
66612.79,42,Medium,684846.46,22,51.02,18.64,7.33,12.6,9.72,0.69,8.2,13.4
53577.22,38,Medium,147398.13,26,33.28,22.95,8.42,16.66,9.07,9.61,5.92,12.45
41005.58,45,Low,409943.75,20,10.53,32.4,19.32,8.46,20.88,8.41,3.95,10.27
30983.51,33,Low,327470.6,27,11.78,35.48,27.55,8.97,10.55,5.67,5.35,9.59
34630.45,53,Low,267913.64,7,9.78,32.44,30.71,5.79,17.02,4.27,4.77,9.63
20366.67,45,Low,158874.21,20,19.74,23.33,23.15,9.92,15.64,8.22,5.53,11.47
56466.49,41,Medium,568984.06,23,33.96,23.36,14.2,16.62,9.57,2.3,6.49,11.44
20000,31,Medium,72205.31,30,36.12,21.28,8.34,13.76,9.13,11.38,7.66,12.67
69900.85,49,Medium,658807.08,15,32.19,20.39,9.67,17.71,8.48,11.56,6.27,12.82
58281.23,42,Low,296841,23,10.19,36.86,19.6,8.57,18.02,6.77,4.88,7.18
67484.15,30,Medium,511114.61,30,30.42,26.45,9.83,12.28,9.58,11.43,6.27,13.35
39513.38,39,Low,220191.92,19,21.23,25.59,28.26,7.69,13.78,3.45,5.2,8.46
500000,47,High,3138778.96,15,62.12,7.16,2.56,14.44,5.3,8.41,9.27,16.39
178116.4,46,High,1554029.16,17,58.71,1.18,4.93,14.76,3.4,17.01,10.35,13.87
22169.35,45,Medium,121487.61,19,46.25,21.04,12.99,9.85,8.99,0.87,6.56,14.09
72286.62,41,Medium,569512.69,19,34.39,25.34,10.65,11.65,6.94,11.03,8.09,14.22
36889.97,52,Low,390896.87,10,14.85,35.24,22.8,9.17,12.04,5.9,6.13,10.05
26649.24,54,Medium,299397.26,13,42.84,13.84,11.23,18.38,13.44,0.27,8.14,12.98
20538.21,48,Low,235985.54,18,18.02,30.31,14.44,9.48,26.82,0.94,5.82,9.87
84784.94,32,Low,553233,24,14.47,27.18,25.79,4.65,26.41,1.51,4.18,8.51
34786.88,27,Low,310221.23,30,16.57,32,24.12,5.02,18.24,4.05,5.32,8.54
130139.3,33,High,758508.61,30,66.02,4.78,4.32,12.84,1.11,10.93,10.1,18.57
132869.88,63,Low,817874.62,1,11.7,27.58,26.74,9.08,18.51,6.38,4.49,8.59
180093.48,43,Medium,812149.4,21,41.72,17.43,12.73,12.52,8.93,6.66,7.68,14.38
30339.03,65,Low,194906.28,1,16.75,21.49,22.05,8.94,27.39,3.38,5.45,9.14
87762.74,38,Medium,240082.01,29,45.4,12.64,6.99,13.07,12.7,9.2,8.54,14.07
99514.96,36,Low,658144.91,29,9.29,38.18,25.09,5.41,19.88,2.15,3.31,8.09
41058.67,39,Low,222535.84,27,20.72,32.85,12.31,5.87,23.61,4.63,4.9,9.87
32360.13,38,Low,151308.71,27,23.67,39.47,13.93,5.57,11.76,5.6,5.21,9.93
217448.29,30,High,676626.55,28,57.91,5.74,3.89,11.34,6.55,14.58,9.59,16.95
71976.61,26,Medium,369759.64,30,43.19,21.74,11.23,11.7,5.6,6.54,7.31,15.19
99795.07,46,Medium,963324.7,15,44.57,23.54,5.71,13.34,11.27,1.57,8.75,15.04
31083.71,52,Medium,242580.81,13,40.36,20.77,7,15.32,10.81,5.75,7.9,14.12
22621.87,69,Low,215035.18,1,15.72,27.41,29.9,8.42,11.25,7.3,5.98,8.97
38045.57,34,Low,126626.63,30,9.92,30.96,25.99,10.02,14.22,8.9,4.54,8.33
54332.77,35,Medium,369623.04,27,39.55,21.68,9.39,12.35,5.97,11.05,8.01,12.78
25609.63,30,Medium,217997.6,30,43.74,16.56,9.15,18.15,7.57,4.83,8.53,11.93
59529.31,53,Medium,243834.39,12,34.37,17.16,12.02,16.86,11.46,8.13,7.2,12.3
20000,49,Low,246368.61,13,17.44,32.53,15.63,7.35,24.24,2.82,3.5,10.79
24491.02,29,Low,257278.76,30,23.07,19.02,18.13,6.51,27.33,5.95,4.62,10.34
102624.18,29,Low,1049578.79,30,8.05,33.12,16.58,6.33,25.25,10.67,4.04,8.08
97258.95,51,Low,525870.29,14,21.75,23.19,26.42,8.59,14.45,5.6,5.7,11.16
43853,44,Low,420188.29,17,22.23,38.91,16.55,8.08,12.07,2.15,4.79,10.45
26579.31,49,Medium,172059.17,16,36.56,20.97,11.02,20.66,7.3,3.49,7.76,13.84
26375.14,29,Low,239817.42,30,22.41,28.38,27.66,8.98,11.82,0.75,4.86,10.08
44510.72,18,Low,444530.09,30,6.31,29.77,25.4,7.94,27.39,3.18,4.1,7.77
100480.07,29,Low,354571.98,30,17.2,24.14,11.66,9.15,29.03,8.81,5.94,9.85
126083.09,48,Medium,441701.88,18,44,15.14,12.47,10.53,8.97,8.9,7.47,11.5
40330.95,65,Medium,179347.76,1,37.43,15.49,7.28,18.63,11.9,9.26,7.1,13.69
23844.43,34,Medium,233978.61,25,43.47,11.02,7.39,18,11.19,8.93,6.83,13.17
74337.79,67,Medium,612124.15,1,34.83,20.16,10.98,11.66,11.81,10.55,6.43,12.62
31047.45,49,Medium,240827.31,18,42.66,13.28,13.37,18.49,12.05,0.15,7.46,12.27
39636.18,23,Low,347671.93,30,16.09,27.95,12.38,7.53,32.94,3.12,4.73,10.2
173220.51,42,Medium,1566234.07,16,40.66,26.93,5.44,11.36,11.32,4.31,7.42,15.26
116284.17,50,Low,1165889.31,16,12.52,30.88,19.15,8.01,23.68,5.76,4.69,9.18
68082.76,18,Low,263779.33,30,16.13,32.08,14.89,8.25,26.23,2.42,4.26,9.09
21689.09,47,Low,167014.69,15,22.23,31.93,15.94,6.98,14.91,8.01,5.72,12.29
71055.54,54,Low,720792.77,8,15.7,33.55,15.69,6.94,24.42,3.71,4.18,9.92
140396.48,44,Low,842938.74,17,18.42,34.16,22.3,4.58,20.08,0.46,3.85,8.81
44426.57,39,Medium,301171.84,20,43.49,16.69,11.65,15.44,7.35,5.37,7.76,14.56
176838.31,37,Medium,1723960.03,24,35.29,23.06,5.98,15.62,9.28,10.78,6.88,12.29
168770.67,37,High,1366475.8,30,61.12,9.05,3.24,13.64,0.65,12.3,9.68,16.35
227086.46,25,Medium,1482074.22,30,45.46,10.67,13.58,11.1,8.26,10.93,7.96,14.25
76595.56,31,High,403123.39,30,73.77,2.18,4.02,12.84,6.86,0.32,9.6,17.38
95991.33,35,High,929907.61,23,68.05,5.59,0.15,20.13,5.13,0.95,9.57,16.52
185990.28,41,Medium,426280.35,25,43.23,13.97,9.31,19.23,7.74,6.53,8.75,13.24
85820.66,33,Medium,425033.01,30,38.34,14.75,10.6,14.78,11.29,10.23,8.19,12.93
40179.51,29,Low,413461.11,28,19.55,36.3,23.3,5.36,11.81,3.69,4.96,9.22
41909.41,49,Medium,299854.21,14,41.06,14.21,6.14,18.63,5.74,14.22,7.69,13.92
72616.24,44,High,551648.27,22,60.54,8.27,0.48,9.01,6.61,15.09,8.49,15.17
21368.02,33,Medium,166783.57,30,42.49,21.08,9.42,10.58,12.44,3.98,7.12,11.83
53502.98,46,Medium,323085.84,14,37.69,20.75,6.54,10.32,12.76,11.92,8.17,14.6
144254.96,34,Medium,1090272.22,30,35.52,23.26,10.46,15.05,11.62,4.09,7.17,15.06
20000,40,Medium,202635.96,26,35.91,25.34,10.74,12.44,14.6,0.97,7.13,11.95
204778.77,51,High,1057571.85,10,74.43,7.9,1.82,13,2.67,0.18,10.73,18.11
147266.51,32,Medium,1022245.28,30,34.82,20.74,12.87,13.87,9.22,8.47,6.75,12.32
41534.85,25,Low,135568.48,30,13.97,31.88,24.32,7,17.94,4.88,4.27,7.63
92671.15,38,High,629314.54,25,78.2,2.01,0.91,10.61,0.75,7.51,11.38,17.33
60151.28,23,Medium,503127.35,30,42.4,14.45,13.1,15.02,7.65,7.39,8.44,12.95
160506.89,36,High,1108499.12,26,56.27,10.72,4.89,20.2,4.48,3.44,8.88,16.14
131695.32,36,Low,1224890.18,30,11.99,42.83,12.15,10.4,13.72,8.91,6.04,8.24
20000,18,Low,103790.91,30,11.72,28.81,19.66,9.64,18.82,11.35,4.69,10.19
95981.41,46,Medium,615558.33,16,31.52,21.91,14.64,16.13,6.06,9.73,7.44,11.9
50898.95,37,Medium,174419,26,45.21,22.96,6.15,10.08,11.3,4.3,8.07,14.33
64110.66,54,Low,541251.73,9,8.22,37.1,18.67,8.32,23.48,4.22,4.37,6.37
33508.76,42,Low,227743.51,21,22.88,25.49,13.8,7.68,20.73,9.43,5.11,10.86
242949.65,48,High,1564716.15,14,58.31,4.8,3.64,17.32,5.34,10.59,9.33,16.16
137881.42,54,Medium,471388.74,8,34.87,18.04,12.2,15.3,12.91,6.69,5.79,12.99
33199.26,38,Low,369289.28,27,11.42,37.94,22.32,8.07,19.95,0.3,4.61,8.53
20628.14,39,Medium,207642.46,30,32.61,24.48,5.65,17.83,5.87,13.56,7.62,14.09
44071.2,21,Low,250392.27,30,16.04,30.2,22.55,5.38,22.93,2.91,4.82,8.66
84940.13,54,High,611179.89,7,64.65,8.02,0.95,16.17,3.21,7,10.56,17.2
72712.2,38,Medium,543330.7,27,38.61,17.84,10.6,12.22,9.4,11.33,7.77,13.4
163506.19,27,Medium,1610741.88,30,32.32,17.35,12.86,14.38,9.6,13.5,6.97,12.92
112874.92,48,Medium,967604.3,21,36.19,22.08,5.59,12.67,11.79,11.69,7.19,12.44
130320.89,18,High,643192.9,30,58.84,6.76,2.83,13.79,6.38,11.39,9.15,15.99
77931.39,34,Medium,799414.54,26,38.17,16.67,10.55,9.84,12.41,12.36,7.07,10.81
20000,50,Low,138287.41,9,15.79,27.93,22.25,10.96,17.01,6.06,5.48,8.85
51304.87,34,High,373410.9,30,59.12,7.21,0.7,16.58,6.52,9.87,9.44,16.54
140108.39,31,Medium,1096572.16,30,50.67,15.33,6.31,16.13,8.37,3.18,8.56,14.62
57577.17,35,Medium,275039.61,30,41.03,18.31,9.28,15.99,13.28,2.1,7.55,14.13
89731.05,18,Low,883984.38,30,7.8,32.1,27.86,5.83,25.44,0.96,3.5,8.52
46495.05,48,Low,221374.44,15,19.03,28.45,17.9,6.57,23.43,4.62,4.97,10.4
26324.37,38,Low,183683.95,30,17.24,35.32,20.5,8.15,14.07,4.73,5,8.52
54362.21,36,Low,222950.91,25,19.28,30.71,17.76,6.42,24.84,1,5.24,9.25
76829.03,36,Medium,727453.58,30,39.97,22.94,5.5,9.43,10.97,11.19,6.74,13.32
35509.29,40,Medium,173969.8,25,38.48,14.68,7.73,17.64,8.11,13.37,7.25,13.68
49688.6,47,Low,160187.23,15,8.96,29.4,27.65,7.04,20.13,6.81,4.54,6.9
28297.51,39,Low,104410.36,23,17.46,32.33,19.94,8.29,18.37,3.61,5.13,10.05
146898.3,23,Low,803033.93,30,8.41,28.27,26.27,6.38,22.36,8.31,5.04,7.6
47407.48,46,Medium,339083.49,18,34.3,16.04,14.64,12.46,10.26,12.31,7.25,13.67
191818.38,45,Medium,492533.2,19,42.83,13.06,9.42,17.45,10.11,7.13,8.46,14.07
203841.52,42,Medium,601121.55,19,44.22,13.55,5.24,18.2,11.61,7.18,9.14,13.95
